asset_id,name,reason,folder_name,size_mb,exists,video_path
"manual.048.video.10095de4fb","上下摆臂","app_or_player_chrome_visible","manual_048_video_10095de4fb","2.88","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\manual_048_video_10095de4fb\video.mp4"
"manual.056.video.609531a24e","站姿扭腰动作","app_or_player_chrome_visible","manual_056_video_609531a24e","4.51","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\manual_056_video_609531a24e\video.mp4"
"review.u0020.video.507d6ee47f","玉米鸡蛋蔬菜水煮餐","play_button_visible","review_u0020_video_507d6ee47f","3.81","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0020_video_507d6ee47f\video.mp4"
"review.u0034.video.0fa094a4f3","倒温水","loading_indicator_visible","review_u0034_video_0fa094a4f3","1.38","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0034_video_0fa094a4f3\video.mp4"
"review.u0042.video.93e2eea161","秋日银杏街景","catalog_marked_embedded","review_u0042_video_93e2eea161","4.9","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0042_video_93e2eea161\video.mp4"
"review.u0046.video.b438b99f2f","凉拌海带","loading_indicator_visible","review_u0046_video_b438b99f2f","3.29","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0046_video_b438b99f2f\video.mp4"
"review.u0060.video.e329aacbfa","枸杞","loading_indicator_visible","review_u0060_video_e329aacbfa","3.83","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0060_video_e329aacbfa\video.mp4"
"review.u0061.video.40976d2d4c","大蒜","loading_indicator_visible","review_u0061_video_40976d2d4c","2.25","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0061_video_40976d2d4c\video.mp4"
"review.u0075.video.bdfa56baf2","海带","loading_indicator_visible","review_u0075_video_bdfa56baf2","3.83","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0075_video_bdfa56baf2\video.mp4"
"review.u0077.video.1eaa547446","菠菜鸡蛋汤","loading_indicator_visible","review_u0077_video_1eaa547446","3.39","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0077_video_1eaa547446\video.mp4"
"review.u0083.video.113d91a6c4","苹果梨去核","play_button_visible","review_u0083_video_113d91a6c4","1.57","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0083_video_113d91a6c4\video.mp4"
"review.u0084.video.a48ccec361","绿豆生姜汤","loading_indicator_visible","review_u0084_video_a48ccec361","5.57","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0084_video_a48ccec361\video.mp4"
"review.u0089.video.53e6d68225","丝瓜鸡蛋汤","loading_indicator_visible","review_u0089_video_53e6d68225","3.29","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0089_video_53e6d68225\video.mp4"
"review.u0102.video.a64745b702","西红柿去皮","loading_indicator_visible","review_u0102_video_a64745b702","2.52","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0102_video_a64745b702\video.mp4"
"review.u0103.video.278ae8075a","坐姿踮脚","loading_indicator_visible","review_u0103_video_278ae8075a","3.06","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0103_video_278ae8075a\video.mp4"
"review.u0104.video.48be7e8b16","蜂巢蜜","loading_indicator_visible","review_u0104_video_48be7e8b16","2.44","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0104_video_48be7e8b16\video.mp4"
"review.u0111.video.fb02d5d0c2","雨中荷塘","catalog_marked_embedded","review_u0111_video_fb02d5d0c2","4.43","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0111_video_fb02d5d0c2\video.mp4"
"review.u0113.video.0348aae870","热水","play_button_visible","review_u0113_video_0348aae870","2.31","true","D:\工作内容\轻盈健\公寓\jyd_plain_json_probe\data\libraries\semantic_visual_library\videos\review_u0113_video_0348aae870\video.mp4"
